"sn","chinese","ph","ty","hy","g2","wg","last_name_weight","first_name_weight"
14430,"\347\273\231","\343\204\220\343\204\247\313\207","ji","ji","ji","chi",0,0
14431,"\350\232\211","\343\204\250\343\204\243\313\212","wun","wen","wen","wen",0,0
14432,"\351\240\264","\343\204\247\343\204\245\313\207","ying","ying","ying","ying",0,0
14433,"\351\243\244","\343\204\231\313\213","sih","si","sz","ssu",0,0
14434,"\347\260\266","\343\204\214\343\204\250\313\213","lu","lu","lu","lu",0,0
14435,"\346\205\227","\343\204\224\313\213","chih","chi","chr","chih",0,0
14436,"\350\207\261","\343\204\205\343\204\247\343\204\242","bian","bian","bian","pien",0,0
14437,"\350\207\261","\343\204\207\343\204\247\343\204\242\313\212","mian","mian","mian","mien",0,0
14438,"\351\222\251","\343\204\215\343\204\241","gou","gou","gou","kou",0,0
14439,"\344\270\244","\343\204\214\343\204\247\343\204\244\313\207","liang","liang","liang","liang",0,0
14440,"\346\213\205","\343\204\211\343\204\242","dan","dan","dan","tan",0,0
14441,"\346\213\205","\343\204\211\343\204\242\313\207","dan","dan","dan","tan",0,0
14442,"\346\213\205","\343\204\211\343\204\242\313\213","dan","dan","dan","tan",0,0
14443,"\350\277\254","\343\204\223\343\204\250\313\213","jhu","zhu","ju","chu",0,0
14444,"\350\277\254","\343\204\250\343\204\244\313\207","wang","wang","wang","wang",0,0
